uniprot_acc	mlo	rol	db
O43670		unassigned	phasepdb_rev
A0A0U1RRE5	P-body	unassigned	phasepdb_uniprot
A1L020	P-body	unassigned	phasepdb_uniprot
A2A288	P-body	unassigned	phasepdb_uniprot
A4D1E9	Nucleolus	unassigned	phasepdb_uniprot
A5YKK6	P-body	unassigned	phasepdb_uniprot
A8CG34	Nuclear pore complex	unassigned	phasepdb_uniprot
C9JLW8	Stress granule	unassigned	phasepdb_uniprot
I0J062	Nucleolus	unassigned	phasepdb_uniprot
O00165	P-body	unassigned	phasepdb_uniprot
O00257	Nuclear speckle	unassigned	phasepdb_uniprot
O00422	Nuclear speckle	unassigned	phasepdb_uniprot
O00566	Nucleolus	unassigned	phasepdb_uniprot
O00567	Nucleolus	unassigned	phasepdb_uniprot
O14746	Nucleolus	unassigned	phasepdb_uniprot
O15047	Nuclear speckle	unassigned	phasepdb_uniprot
O15055	Nucleolus	unassigned	phasepdb_uniprot
O15213	Nucleolus	unassigned	phasepdb_uniprot
O15234	Nuclear speckle	unassigned	phasepdb_uniprot
O15234	Stress granule	unassigned	phasepdb_uniprot
O15381	Nucleolus	unassigned	phasepdb_uniprot
O15446	Nucleolus	unassigned	phasepdb_uniprot
O15527	Nuclear speckle	unassigned	phasepdb_uniprot
O43447	Nuclear speckle	unassigned	phasepdb_uniprot
O43660	Nuclear speckle	unassigned	phasepdb_uniprot
O43781		unassigned	phasepdb_uniprot
O43823	Nucleolus	unassigned	phasepdb_uniprot
O60318	Nuclear pore complex	unassigned	phasepdb_uniprot
O60828	Stress granule	unassigned	phasepdb_uniprot
O60934	PML nuclear body	unassigned	phasepdb_uniprot
O60936	Nucleolus	unassigned	phasepdb_uniprot
O75151	Nucleolus	unassigned	phasepdb_uniprot
O75319	Nuclear speckle	unassigned	phasepdb_uniprot
O75494	Nuclear speckle	unassigned	phasepdb_uniprot
O75554	Nuclear speckle	unassigned	phasepdb_uniprot
O75817	SMN granule	unassigned	phasepdb_uniprot
O75925	PML nuclear body	unassigned	phasepdb_uniprot
O75928	PML nuclear body	unassigned	phasepdb_uniprot
O76021	Nucleolus	unassigned	phasepdb_uniprot
O94818	Nucleolus	unassigned	phasepdb_uniprot
O94906	Cajal body	unassigned	phasepdb_uniprot
O95232	Nuclear speckle	unassigned	phasepdb_uniprot
O95707	Nucleolus	unassigned	phasepdb_uniprot
P01106	Nucleolus	unassigned	phasepdb_uniprot
P02545	Nuclear speckle	unassigned	phasepdb_uniprot
P06730	P-body	unassigned	phasepdb_uniprot
P08621	Nuclear speckle	unassigned	phasepdb_uniprot
P0DI83	Nucleolus	unassigned	phasepdb_uniprot
P12270	Nuclear pore complex	unassigned	phasepdb_uniprot
P15927	PML nuclear body	unassigned	phasepdb_uniprot
P16383	Nucleolus	unassigned	phasepdb_uniprot
P17844	Nucleolus	unassigned	phasepdb_uniprot
P19474	P-body	unassigned	phasepdb_uniprot
P19544	Nuclear speckle	unassigned	phasepdb_uniprot
P20592	Nuclear pore complex	unassigned	phasepdb_uniprot
P21359	Nucleolus	unassigned	phasepdb_uniprot
P23396	Nucleolus	unassigned	phasepdb_uniprot
P25685	Nucleolus	unassigned	phasepdb_uniprot
P26196	P-body	unassigned	phasepdb_uniprot
P26651	P-body	unassigned	phasepdb_uniprot
